,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Spatial neighborhood MI
282,Q0.464,192.59082330738383,rep0,0.01,508,VAE,1.439599384488434
283,Q0.464,192.59082330738383,rep0,0.01,508,PCA,1.4606324931486216
284,Q0.464,192.59082330738383,rep0,0.01,508,RandomProjection,0.24326924688556195
285,Q0.464,192.59082330738383,rep0,0.01,508,nanoTxformer,0.2365420434290013
286,Q0.464,192.59082330738383,rep0,0.022,1119,VAE,1.5569803279231125
287,Q0.464,192.59082330738383,rep0,0.022,1119,PCA,1.5308692937521853
288,Q0.464,192.59082330738383,rep0,0.022,1119,RandomProjection,0.3458380800796396
289,Q0.464,192.59082330738383,rep0,0.046,2339,VAE,1.671483827340411
290,Q0.464,192.59082330738383,rep0,0.046,2339,PCA,1.5071728311259152
291,Q0.464,192.59082330738383,rep0,0.046,2339,RandomProjection,0.2372549245303392
292,Q0.464,192.59082330738383,rep0,0.1,5086,VAE,1.8346795005488645
293,Q0.464,192.59082330738383,rep0,0.1,5086,PCA,1.6020768961321188
294,Q0.464,192.59082330738383,rep0,0.1,5086,RandomProjection,0.3669804333485657
295,Q0.464,192.59082330738383,rep0,0.1,5086,nanoTxformer,0.3298084101388312
296,Q0.464,192.59082330738383,rep0,0.215,10936,VAE,1.8914242025594894
297,Q0.464,192.59082330738383,rep0,0.215,10936,PCA,1.5802691888661493
298,Q0.464,192.59082330738383,rep0,0.215,10936,RandomProjection,0.37208920126938494
299,Q0.464,192.59082330738383,rep0,0.464,23602,VAE,1.9783756086915787
300,Q0.464,192.59082330738383,rep0,0.464,23602,PCA,1.5957981473067713
301,Q0.464,192.59082330738383,rep0,0.464,23602,RandomProjection,0.2601333001246296
302,Q0.464,192.59082330738383,rep0,1.0,50868,VAE,2.030083473203929
303,Q0.464,192.59082330738383,rep0,1.0,50868,PCA,1.5397635717602214
304,Q0.464,192.59082330738383,rep0,1.0,50868,RandomProjection,0.3310501454042666
305,Q0.464,192.59082330738383,rep0,1.0,50868,nanoTxformer,0.24257295083104394
306,Q1.000,352.97879849705174,rep0,0.001,50,VAE,1.1749108994653616
307,Q1.000,352.97879849705174,rep0,0.001,50,PCA,1.2306978007401337
308,Q1.000,352.97879849705174,rep0,0.001,50,RandomProjection,0.4297905287644266
309,Q1.000,352.97879849705174,rep0,0.001,50,nanoTxformer,0.311197268587887
310,Q1.000,352.97879849705174,rep0,0.002,101,VAE,1.4279055833411107
311,Q1.000,352.97879849705174,rep0,0.002,101,PCA,1.6256295745248948
312,Q1.000,352.97879849705174,rep0,0.002,101,RandomProjection,0.39597016061181883
313,Q1.000,352.97879849705174,rep0,0.005,254,VAE,1.6767108835447713
314,Q1.000,352.97879849705174,rep0,0.005,254,PCA,1.7912684329267565
315,Q1.000,352.97879849705174,rep0,0.005,254,RandomProjection,0.36885897799511114
316,Q1.000,352.97879849705174,rep0,0.01,508,VAE,1.7974279466360108
317,Q1.000,352.97879849705174,rep0,0.01,508,PCA,1.8029034044768775
318,Q1.000,352.97879849705174,rep0,0.01,508,RandomProjection,0.369936822973692
319,Q1.000,352.97879849705174,rep0,0.01,508,nanoTxformer,0.24475324287436148
320,Q1.000,352.97879849705174,rep0,0.022,1119,VAE,1.87157491505222
321,Q1.000,352.97879849705174,rep0,0.022,1119,PCA,1.9123971167939333
322,Q1.000,352.97879849705174,rep0,0.022,1119,RandomProjection,0.5129032845923199
323,Q1.000,352.97879849705174,rep0,0.046,2339,VAE,2.0885438957180025
324,Q1.000,352.97879849705174,rep0,0.046,2339,PCA,1.8493836606064806
325,Q1.000,352.97879849705174,rep0,0.046,2339,RandomProjection,0.3385616091370582
326,Q1.000,352.97879849705174,rep0,0.1,5086,VAE,2.1313513639873976
327,Q1.000,352.97879849705174,rep0,0.1,5086,PCA,1.9237106352196285
328,Q1.000,352.97879849705174,rep0,0.1,5086,RandomProjection,0.5744620471927817
329,Q1.000,352.97879849705174,rep0,0.1,5086,nanoTxformer,0.2922247909897883
330,Q1.000,352.97879849705174,rep0,0.215,10936,VAE,2.2108233034743447
331,Q1.000,352.97879849705174,rep0,0.215,10936,PCA,1.8296649463293224
