,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
158,Q0.022,55.726789316056475,rep0,0.1,19633,RandomProjection,0.1274076793955383
159,Q0.022,55.726789316056475,rep0,0.1,19633,nanoTxformer,0.04485770100831801
160,Q0.022,55.726789316056475,rep0,0.215,42211,VAE,0.35405453086212857
161,Q0.022,55.726789316056475,rep0,0.215,42211,PCA,0.07956903046783995
162,Q0.022,55.726789316056475,rep0,0.215,42211,RandomProjection,0.12264674225264575
163,Q0.022,55.726789316056475,rep0,0.464,91098,VAE,0.36110831301430935
164,Q0.022,55.726789316056475,rep0,0.464,91098,PCA,0.11910821198804634
165,Q0.022,55.726789316056475,rep0,0.464,91098,RandomProjection,0.051044024368737034
166,Q0.022,55.726789316056475,rep0,1.0,196332,VAE,0.3276784326330536
167,Q0.022,55.726789316056475,rep0,1.0,196332,PCA,0.10142919092742532
168,Q0.022,55.726789316056475,rep0,1.0,196332,RandomProjection,0.12294002263764196
169,Q0.022,55.726789316056475,rep0,1.0,196332,nanoTxformer,0.07899082928006153
170,Q0.046,120.05950125297964,rep0,0.001,196,VAE,0.3716150716230098
171,Q0.046,120.05950125297964,rep0,0.001,196,PCA,0.3273742305071928
172,Q0.046,120.05950125297964,rep0,0.001,196,RandomProjection,0.09772221725745889
173,Q0.046,120.05950125297964,rep0,0.001,196,nanoTxformer,0.16463361775003246
174,Q0.046,120.05950125297964,rep0,0.002,392,VAE,0.294709996555863
175,Q0.046,120.05950125297964,rep0,0.002,392,PCA,0.2709519449115394
176,Q0.046,120.05950125297964,rep0,0.002,392,RandomProjection,0.16858261276720207
177,Q0.046,120.05950125297964,rep0,0.005,981,VAE,0.3708643019253092
178,Q0.046,120.05950125297964,rep0,0.005,981,PCA,0.3451378194931062
179,Q0.046,120.05950125297964,rep0,0.005,981,RandomProjection,0.11851423914514636
180,Q0.046,120.05950125297964,rep0,0.01,1963,VAE,0.48245830176165966
181,Q0.046,120.05950125297964,rep0,0.01,1963,PCA,0.2976855187670046
182,Q0.046,120.05950125297964,rep0,0.01,1963,RandomProjection,0.1215638329918312
183,Q0.046,120.05950125297964,rep0,0.01,1963,nanoTxformer,0.09866370636774037
184,Q0.046,120.05950125297964,rep0,0.022,4319,VAE,0.5992578437772613
185,Q0.046,120.05950125297964,rep0,0.022,4319,PCA,0.276091901146328
186,Q0.046,120.05950125297964,rep0,0.022,4319,RandomProjection,0.1758376710653586
187,Q0.046,120.05950125297964,rep0,0.046,9031,VAE,0.6525761733050963
188,Q0.046,120.05950125297964,rep0,0.046,9031,PCA,0.324004275364186
189,Q0.046,120.05950125297964,rep0,0.046,9031,RandomProjection,0.15011743598134425
190,Q0.046,120.05950125297964,rep0,0.1,19633,VAE,0.6527249650836202
191,Q0.046,120.05950125297964,rep0,0.1,19633,PCA,0.39134854962010573
192,Q0.046,120.05950125297964,rep0,0.1,19633,RandomProjection,0.160422158087878
193,Q0.046,120.05950125297964,rep0,0.1,19633,nanoTxformer,0.11227232797659684
194,Q0.046,120.05950125297964,rep0,0.215,42211,VAE,0.7726371583766806
195,Q0.046,120.05950125297964,rep0,0.215,42211,PCA,0.26245907846333627
196,Q0.046,120.05950125297964,rep0,0.215,42211,RandomProjection,0.1204255839796908
197,Q0.046,120.05950125297964,rep0,0.464,91098,VAE,0.6412684511788534
